"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 13 00:30:44 GMT 2023","Mon Nov 13 00:30:45 GMT 2023","357","tests.test_masha","test_get_pets","","","","test_get_pets_by_status_pending",""
"passed","Mon Nov 13 00:30:56 GMT 2023","Mon Nov 13 00:30:56 GMT 2023","255","tests.test_vera","test_pets_get","TestGetPet","","","Get pet by ID > non existing ID > status code is 404","
        This test to get pet info by non-existing ID and ensure status code is 404
        :param: invalid pet_id = -1
        :return: status code NOT FOUND 404
        "
"passed","Mon Nov 13 00:30:58 GMT 2023","Mon Nov 13 00:30:59 GMT 2023","255","tests.test_vera","test_pets_post","TestPostAddPet","","","Add a new pet > Response is in json format","
        The test checks response is in json format for the created pet
        :param schema, headers
        :return: response is in json format
        "
"passed","Mon Nov 13 00:30:29 GMT 2023","Mon Nov 13 00:30:30 GMT 2023","255","tests.test_kate","test_delete_pets","TestDeletePets","","","test_delete_pet",""
"passed","Mon Nov 13 00:30:55 GMT 2023","Mon Nov 13 00:30:56 GMT 2023","568","tests.test_vera","test_pets_get","TestGetPet","","","Get pet by ID > valid ID > status code is 200","
        This test to get pet info by ID and ensure status code is 200
        :param pet_data: pet data
        :return: status code OK 200
        "
"passed","Mon Nov 13 00:30:30 GMT 2023","Mon Nov 13 00:30:30 GMT 2023","304","tests.test_kate","test_delete_pets","TestDeletePets","","","test_delete_pet_has_text",""
"passed","Mon Nov 13 00:30:36 GMT 2023","Mon Nov 13 00:30:37 GMT 2023","254","tests.test_kate","test_users","TestCreateUsers","","","test_create_user_check_message",""
"passed","Mon Nov 13 00:30:31 GMT 2023","Mon Nov 13 00:30:31 GMT 2023","413","tests.test_kate","test_get_pets","TestsGetPets","","","test_get_pets_by_status",""
"passed","Mon Nov 13 00:30:58 GMT 2023","Mon Nov 13 00:30:58 GMT 2023","256","tests.test_vera","test_pets_post","TestPostAddPet","","","Add a new pet > status code 200","The test checks status code is 200 for the created pet
        :param pet_id
        :return: status code OK 200 "
"passed","Mon Nov 13 00:30:53 GMT 2023","Mon Nov 13 00:30:53 GMT 2023","309","tests.test_vera","test_pets_get","TestGetPet","","","Get pet by status > status code 200","
        This test checks availability of pets by status and checks the status code of the response
        :param for status: ""available"", ""pending"",  ""sold""
        :return: status code OK 200
        "
"passed","Mon Nov 13 00:30:34 GMT 2023","Mon Nov 13 00:30:35 GMT 2023","293","tests.test_kate","test_post","TestPostPets","","","test_create_new_pet",""
"passed","Mon Nov 13 00:30:59 GMT 2023","Mon Nov 13 00:30:59 GMT 2023","304","tests.test_vera","test_pets_post","TestPostAddPet","","","Add a new pet > Expected pet name in response","
        The test checks pet's name in json response for the created pet
        :param pet_data
        :return: pet's name in response
        "
"passed","Mon Nov 13 00:30:27 GMT 2023","Mon Nov 13 00:30:27 GMT 2023","530","tests.test_alena","test_pets","","","","test_get_pets_by_status_sold",""
"passed","Mon Nov 13 00:30:54 GMT 2023","Mon Nov 13 00:30:54 GMT 2023","280","tests.test_vera","test_pets_get","TestGetPet","","","Get pet by status > status code 200","
        This test checks availability of pets by status and checks the status code of the response
        :param for status: ""available"", ""pending"",  ""sold""
        :return: status code OK 200
        "
"passed","Mon Nov 13 00:30:28 GMT 2023","Mon Nov 13 00:30:29 GMT 2023","263","tests.test_galya","test_example","","","","test_get_find_pets_by_id",""
"passed","Mon Nov 13 00:30:48 GMT 2023","Mon Nov 13 00:30:48 GMT 2023","414","tests.test_olena","test_get_pets","","","","test_get_pets_by_status_available",""
"passed","Mon Nov 13 00:30:35 GMT 2023","Mon Nov 13 00:30:36 GMT 2023","270","tests.test_kate","test_users","TestCreateUsers","","","test_create_user_check_status_code",""
"passed","Mon Nov 13 00:30:48 GMT 2023","Mon Nov 13 00:30:49 GMT 2023","361","tests.test_olga_r","test_example","","","","test_get_by_status_available",""
"passed","Mon Nov 13 00:30:30 GMT 2023","Mon Nov 13 00:30:30 GMT 2023","254","tests.test_kate","test_delete_pets","TestDeletePets","","","test_delete_deleted_pet",""
"passed","Mon Nov 13 00:30:32 GMT 2023","Mon Nov 13 00:30:32 GMT 2023","374","tests.test_kate","test_get_pets","TestsGetPets","","","test_get_pets_check_status",""
"passed","Mon Nov 13 00:30:39 GMT 2023","Mon Nov 13 00:30:39 GMT 2023","272","tests.test_kate","test_users","TestCreateUsers","","","test_get_user_check_is_json",""
"passed","Mon Nov 13 00:30:54 GMT 2023","Mon Nov 13 00:30:55 GMT 2023","290","tests.test_vera","test_pets_get","TestGetPet","","","Get pet by status > response is JSON format","
        The test checks if the response content type is JSON
        :param for status: ""available"", ""pending"",  ""sold""
        :return: JSON format
        "
"passed","Mon Nov 13 00:30:29 GMT 2023","Mon Nov 13 00:30:29 GMT 2023","272","tests.test_galya","test_example","","","","test_get_user_by_user_name",""
"passed","Mon Nov 13 00:30:26 GMT 2023","Mon Nov 13 00:30:27 GMT 2023","405","tests.test_alena","test_pets","","","","test_get_pets_by_status_pending",""
"passed","Mon Nov 13 00:30:47 GMT 2023","Mon Nov 13 00:30:47 GMT 2023","254","tests.test_nata","test_pets","TestPet","","","get_pet_by_id",""
"passed","Mon Nov 13 00:30:49 GMT 2023","Mon Nov 13 00:30:50 GMT 2023","368","tests.test_steve","test_get_ex","","","","test_get_find_by_status",""
"passed","Mon Nov 13 00:30:59 GMT 2023","Mon Nov 13 00:31:00 GMT 2023","308","tests.test_vera","test_pets_post","TestPostAddPet","","","Create pet > Expected pet values in response","
        The test checks values in json response for the created pet
        :param pet_data
        :return: valid pet values in response
        "
"passed","Mon Nov 13 00:30:52 GMT 2023","Mon Nov 13 00:30:53 GMT 2023","1143","tests.test_tatiana.test_users","test_user_put","Test_users_put","","","test_update_users_positive",""
"passed","Mon Nov 13 00:30:33 GMT 2023","Mon Nov 13 00:30:33 GMT 2023","356","tests.test_kate","test_get_pets","TestsGetPets","","","test_get_pets_check_status",""
"passed","Mon Nov 13 00:30:32 GMT 2023","Mon Nov 13 00:30:32 GMT 2023","357","tests.test_kate","test_get_pets","TestsGetPets","","","test_get_pets_by_status",""
"passed","Mon Nov 13 00:30:49 GMT 2023","Mon Nov 13 00:30:49 GMT 2023","328","tests.test_olga_r","test_example","","","","test_get_by_status_pending",""
"passed","Mon Nov 13 00:30:45 GMT 2023","Mon Nov 13 00:30:45 GMT 2023","309","tests.test_masha","test_get_pets","","","","test_get_pets_by_status_error_adress",""
"passed","Mon Nov 13 00:30:48 GMT 2023","Mon Nov 13 00:30:48 GMT 2023","271","tests.test_nata","test_pets","TestPet","","","put_update_an_existing_pet",""
"passed","Mon Nov 13 00:30:56 GMT 2023","Mon Nov 13 00:30:57 GMT 2023","875","tests.test_vera","test_pets_get","TestGetPet","","","Get pet by ID > deleted pet > status code is 404","
        This test to get pet info by ID and ensure status code is 404 after deleting the pet
        :param pet_data: pets data
        :return: status code NOT FOUND 404
        "
"passed","Mon Nov 13 00:30:47 GMT 2023","Mon Nov 13 00:30:47 GMT 2023","0","tests.test_nata","test_pets","TestPet","","","post_add_a_new_pet_to_the_store",""
"passed","Mon Nov 13 00:30:50 GMT 2023","Mon Nov 13 00:30:50 GMT 2023","270","tests.test_tatiana.test_users","test_user_delate","Test_user_delate","","","test_delate_users_by_empty_username_negative",""
"passed","Mon Nov 13 00:30:37 GMT 2023","Mon Nov 13 00:30:37 GMT 2023","271","tests.test_kate","test_users","TestCreateUsers","","","test_create_user_is_present_in_databas",""
"passed","Mon Nov 13 00:30:31 GMT 2023","Mon Nov 13 00:30:32 GMT 2023","338","tests.test_kate","test_get_pets","TestsGetPets","","","test_get_pets_by_status",""
"passed","Mon Nov 13 00:30:46 GMT 2023","Mon Nov 13 00:30:46 GMT 2023","356","tests.test_nata","test_pets","TestPet","","","get_finds_pets_by_status",""
"passed","Mon Nov 13 00:30:57 GMT 2023","Mon Nov 13 00:30:58 GMT 2023","860","tests.test_vera","test_pets_get","TestGetPet","","","Get pet by ID > deleted pet > Pet not found error message","
        This test to get pet info by ID and ensure ""Pet not found"" error message after deleting the pet
        :param:  pet_data
        :return: ""Pet not found""
        "
"passed","Mon Nov 13 00:30:40 GMT 2023","Mon Nov 13 00:30:41 GMT 2023","279","tests.test_kate","test_users","TestCreateUsers","","","test_update_user_check_status_code",""
"passed","Mon Nov 13 00:30:50 GMT 2023","Mon Nov 13 00:30:51 GMT 2023","291","tests.test_tatiana.test_users","test_user_delate","Test_user_delate","","","test_delate_users_by_non_existent_username_negative",""
"passed","Mon Nov 13 00:30:51 GMT 2023","Mon Nov 13 00:30:52 GMT 2023","266","tests.test_tatiana.test_users","test_user_get","Test_users_get","","","test_get_users_by_empty_username__negative",""
"passed","Mon Nov 13 00:30:55 GMT 2023","Mon Nov 13 00:30:55 GMT 2023","256","tests.test_vera","test_pets_get","TestGetPet","","","Get pet by invalid status > status code 400","
        The test checks if the response status code is 400
        :param for status: ""invalid_status""
        :return: status code is BAD_REQUEST 400 "
"passed","Mon Nov 13 00:30:42 GMT 2023","Mon Nov 13 00:30:43 GMT 2023","539","tests.test_kate","test_users","TestCreateUsers","","","test_update_user_check_value",""
"passed","Mon Nov 13 00:30:40 GMT 2023","Mon Nov 13 00:30:40 GMT 2023","294","tests.test_kate","test_users","TestCreateUsers","","","test_get_user_check_keys",""
"passed","Mon Nov 13 00:30:55 GMT 2023","Mon Nov 13 00:30:55 GMT 2023","293","tests.test_vera","test_pets_get","TestGetPet","","","Get pet by invalid status > Not Found error message","
        The test checks if the response error message is ""Not Found""
        :param for status: ""invalid_status""
        :return:  'message': 'HTTP 404 Not Found' "
"passed","Mon Nov 13 00:30:28 GMT 2023","Mon Nov 13 00:30:28 GMT 2023","307","tests.test_galya","test_example","","","","test_get_find_pets_by_status_sold",""
"passed","Mon Nov 13 00:30:30 GMT 2023","Mon Nov 13 00:30:31 GMT 2023","279","tests.test_kate","test_get_pets","TestsGetPets","","","test_get_pets_is_json",""
"passed","Mon Nov 13 00:30:53 GMT 2023","Mon Nov 13 00:30:54 GMT 2023","253","tests.test_vera","test_pets_get","TestGetPet","","","Get pet by status > status code 200","
        This test checks availability of pets by status and checks the status code of the response
        :param for status: ""available"", ""pending"",  ""sold""
        :return: status code OK 200
        "
"passed","Mon Nov 13 00:30:43 GMT 2023","Mon Nov 13 00:30:44 GMT 2023","564","tests.test_kate","test_users","TestCreateUsers","","","test_check_update_username_and_id",""
"passed","Mon Nov 13 00:30:50 GMT 2023","Mon Nov 13 00:30:50 GMT 2023","514","tests.test_tatiana.test_users","test_user_delate","Test_user_delate","","","test_delate_user_by_user_name_positive",""
"passed","Mon Nov 13 00:30:27 GMT 2023","Mon Nov 13 00:30:27 GMT 2023","280","tests.test_denis","test_example","TestGetPets","","","test_example",""
"passed","Mon Nov 13 00:30:59 GMT 2023","Mon Nov 13 00:30:59 GMT 2023","293","tests.test_vera","test_pets_post","TestPostAddPet","","","Add a new pet > Expected pet keys in response","
        The test checks pet keys in json response for the created pet
        :param pet_data
        :return: pet keys in response
        "
"passed","Mon Nov 13 00:30:33 GMT 2023","Mon Nov 13 00:30:33 GMT 2023","293","tests.test_kate","test_get_pets","TestsGetPets","","","test_get_pets_check_keys",""
"passed","Mon Nov 13 00:30:30 GMT 2023","Mon Nov 13 00:30:30 GMT 2023","280","tests.test_kate","test_get_pets","TestsGetPets","","","test_get_pets_is_json",""
"passed","Mon Nov 13 00:30:51 GMT 2023","Mon Nov 13 00:30:51 GMT 2023","270","tests.test_tatiana.test_users","test_user_get","Test_users_get","","","test_get_users_by_non_existent_username_negative",""
"passed","Mon Nov 13 00:30:35 GMT 2023","Mon Nov 13 00:30:35 GMT 2023","282","tests.test_kate","test_put_pets","TestUpdatePets","","","test_update_pet_check_status_code",""
"passed","Mon Nov 13 00:30:46 GMT 2023","Mon Nov 13 00:30:46 GMT 2023","367","tests.test_nata","test_pets","TestPet","","","get_finds_pets_by_status",""
"passed","Mon Nov 13 00:30:44 GMT 2023","Mon Nov 13 00:30:44 GMT 2023","360","tests.test_masha","test_get_pets","","","","test_get_pets_by_status_available",""
"passed","Mon Nov 13 00:30:34 GMT 2023","Mon Nov 13 00:30:34 GMT 2023","311","tests.test_kate","test_post","TestPostPets","","","test_create_new_pet_check_status_code",""
"passed","Mon Nov 13 00:30:35 GMT 2023","Mon Nov 13 00:30:35 GMT 2023","280","tests.test_kate","test_put_pets","TestUpdatePets","","","test_update_pet",""
"passed","Mon Nov 13 00:30:51 GMT 2023","Mon Nov 13 00:30:51 GMT 2023","551","tests.test_tatiana.test_users","test_user_get","Test_users_get","","","test_get_users_by_username_positive",""
"passed","Mon Nov 13 00:30:41 GMT 2023","Mon Nov 13 00:30:41 GMT 2023","255","tests.test_kate","test_users","TestCreateUsers","","","test_update_user_check_message",""
"passed","Mon Nov 13 00:30:54 GMT 2023","Mon Nov 13 00:30:54 GMT 2023","291","tests.test_vera","test_pets_get","TestGetPet","","","Get pet by status > response is JSON format","
        The test checks if the response content type is JSON
        :param for status: ""available"", ""pending"",  ""sold""
        :return: JSON format
        "
"passed","Mon Nov 13 00:30:45 GMT 2023","Mon Nov 13 00:30:45 GMT 2023","370","tests.test_masha","test_get_pets","","","","test_get_pets_by_status_sold",""
"passed","Mon Nov 13 00:30:53 GMT 2023","Mon Nov 13 00:30:53 GMT 2023","253","tests.test_tatiana.test_users","test_user_put","Test_users_put","","","test_update_users_negative",""
"broken","Mon Nov 13 00:30:27 GMT 2023","Mon Nov 13 00:30:27 GMT 2023","0","tests.test_denis.test_pets","test_create_pets","TestCreateStore","","","Create pet with valid data has status code 200","
        This test checks if response has status code 200
        "
